Subject,Page Name,Purpose,Key Features,Design Theme,Navigation Links,Interactive Elements,Backend Integration,Status,Ecosystem Role,Error
/home/ubuntu/ai-bot-ecosystem/client/src/pages/AITrainingBot.tsx,AITrainingBot,This page allows users to generate personalized training plans using AI by inputting their specific training goals.,"AI-powered training plan generation, credit-based usage system, user authentication, displays user credit balance, allows saving of generated plans","Dark theme with a blue gradient background, cyan and blue accents for interactive elements, and semi-transparent white containers with a blurred effect. Emojis are used for icons.","/, /dashboard","Textarea for user prompt, 'Generate Plan' button, 'Save Plan' button, 'Sign In with ATHLYNX' button","trpc.aiCredits.getBalance, trpc.aiBots.generateTrainingPlan",Complete,"This page acts as a key feature of the ATHLYNX platform by providing users with AI-generated, personalized training plans. It integrates with the platform's credit and authentication systems, driving user engagement and offering a monetizable service.",
/home/ubuntu/ai-bot-ecosystem/client/src/pages/AdminDashboard.tsx,AdminDashboard,"This page serves as a comprehensive dashboard for administrators to monitor and manage the entire platform, providing key statistics and operational controls.","Statistics overview (orders, revenue, inquiries, products, partners, users), management tabs for inquiries, orders, products, partners, users, and access logs, role-based access control, status updates for inquiries, orders, and partners, user role management","Dark theme with a color palette of dark blue, cyan, white, and gray, with accent colors of green, yellow, purple, and pink for different data categories. The layout is a responsive grid with cards and tabs.","Overview, Inquiries, Orders, Products, Partners, Users, Logs","Tabs, Buttons, Dropdown menus for status and role updates","trpc.admin.getStats, trpc.admin.getInquiries, trpc.admin.getOrders, trpc.admin.getProducts, trpc.admin.getPartners, trpc.admin.getUsers, trpc.admin.getAccessLogs, trpc.admin.updateInquiryStatus, trpc.admin.updateOrderStatus, trpc.admin.updatePartnerStatus, trpc.admin.updateUserRole",Complete,"The Admin Dashboard is the central control panel for the AI Bot ecosystem, enabling administrators to manage all aspects of the platform, from user activity to sales and partnerships. It is essential for maintaining the health and growth of the ecosystem.",
/home/ubuntu/ai-bot-ecosystem/client/src/pages/Apps.tsx,Apps,This page serves as a central hub for users to discover and download the company's suite of mobile applications.,"App discovery, App download links, Subscription tier showcase, Launch notification form","Dark theme with a blue/purple gradient background, cyan accent color, and responsive grid layout. Each app has a unique color gradient.","/, /home, /store, /apps, /pricing","App Store download button, Google Play download button, Email input form, Notify Me button, iOS download button, Android download button","Stripe for in-app subscriptions, a mailing list service for the 'Notify Me' form.",Complete,"This page acts as the main entry point for users to access the company's mobile app ecosystem, promoting app downloads and outlining the subscription model.",
/home/ubuntu/ai-bot-ecosystem/client/src/pages/AthleteDashboard.tsx,AthleteDashboard,"The Athlete Dashboard serves as a central hub for an athlete to view their performance metrics, NIL (Name, Image, Likeness) deals, earnings, and receive AI-powered recommendations for improvement.","Overview tab with monthly earnings, deal status, and FUEL Bot insight,NIL Deals tab to browse and manage deals,FUEL Bot AI tab with personalized recommendations,Performance tab with key metrics and overall score,Earnings tab with history","Dark theme with a slate gradient background. Accent color is cyan, with green, yellow, and purple highlights. The layout is a dashboard with cards and tabs.","/,Settings","Tabs,Settings button,View Plan button,Browse Opportunities button,Details button,Start Now button,Log Workout button",None,Partial,"This page is a core component of the ATHLYNX platform, providing athletes with a comprehensive view of their career and performance. It empowers them to manage their NIL deals, track their progress, and receive AI-driven guidance.",
/home/ubuntu/ai-bot-ecosystem/client/src/pages/AthletePlaybook.tsx,AthletePlaybook,"This page serves as a comprehensive guide for athletes, offering strategies to enhance their recruitment visibility, build a strong media presence, and connect with global opportunities.","Build Your Media Presence, Boost Recruiting Visibility, Connect Globally, Share Your Schedule, Compare Recruiting Efforts, Master Communication, Success Stories","The page uses a gradient background, a blurred backdrop header, and a primary color for highlights, titles, and buttons. The layout is a single-column design utilizing Card components for structured content presentation.","/, /playbook, /transfer-portal, /nil-marketplace, /messages, /about, /team","Log In button, Sign Up Free button, Get Started Free button, Download Full Playbook (PDF) button, Tabs, Create Free Account button, Download Playbook PDF button",None,Complete,"This page acts as a key informational and marketing resource within the Athlynx ecosystem. It is designed to educate athletes on valuable success strategies, encouraging them to register and engage with the platform's tools and services.",
/home/ubuntu/ai-bot-ecosystem/client/src/pages/Capabilities.tsx,Capabilities,"This page provides a detailed comparison of capabilities across all AI bots in the ecosystem, helping users understand the specific functions of each bot.","Capability matrix, Key feature descriptions, Detailed capability comparison table","The page uses a card-based layout with a table for the capability matrix. It utilizes a color scheme with blue, purple, green, orange, and red to differentiate the various bots.","Home, Team Bots, Capabilities, Implementation","Navigation links, Hover effects on cards and links",None,Complete,"This page acts as a reference guide for users to compare the functionalities of different AI bots within the ecosystem, enabling them to select the most appropriate bot for their requirements.",
/home/ubuntu/ai-bot-ecosystem/client/src/pages/Careers.tsx,Careers,This page lists available job openings at Dozier Holdings Group and allows users to submit their applications directly through the website.,"Job listings, Application form, Benefits section, Why Join DHG section","Dark theme with a blue-to-black gradient background and cyan as the primary accent color. The layout is a single-column, centered design with job listings presented in a card-based format.",/dhg,"Apply Now buttons, Application form, Close modal button, Mailto link",None,Complete,"This page serves as the primary recruitment portal for Dozier Holdings Group, enabling the company to attract and hire talent to support the growth and development of its various projects and platforms.",
/home/ubuntu/ai-bot-ecosystem/client/src/pages/ComingSoon.tsx,ComingSoon,A placeholder page to inform users about a feature or page that is under development and will be launched in the future.,"Displays a customizable title, description, and icon, Features a 'COMING SOON' badge, Announces a launch date, Provides CTA buttons to join a waitlist or explore the platform",Dark theme with a gradient background from slate-900 to blue-900. Uses yellow and cyan for highlights and calls to action.,"/, /home","Join VIP Waitlist button, Explore Platform button",None,Placeholder,"This page acts as a standardized placeholder for upcoming features, managing user expectations and providing clear navigation options to either join a waitlist or return to the main platform.",
/home/ubuntu/ai-bot-ecosystem/client/src/pages/ComponentShowcase.tsx,ComponentShowcase,"This page serves as a comprehensive showcase for the 'shadcn/ui' component library, demonstrating the visual styling and functionality of various UI elements.","Accordion, Alert, AspectRatio, Avatar, Badge, Breadcrumb, Button, Calendar, Card, Carousel, Checkbox, Collapsible, Command, ContextMenu, Dialog, Drawer, DropdownMenu, HoverCard, Input, InputOTP, Label, Menubar, Pagination, Popover, Progress, RadioGroup, ResizablePanel, ScrollArea, Select, Separator, Sheet, Skeleton, Slider, Switch, Table, Tabs, Textarea, Toggle, ToggleGroup, Tooltip, AIChatBox","The page features a modern, clean design with a themeable color scheme (light and dark modes), likely built with Tailwind CSS. It showcases a variety of text and background colors for different states and components.",None,"Accordion, Button, Calendar, Carousel, Checkbox, Collapsible, Command, ContextMenu, Dialog, Drawer, DropdownMenu, HoverCard, Input, InputOTP, Menubar, Pagination, Popover, RadioGroup, Select, Slider, Switch, Tabs, Textarea, Toggle, ToggleGroup, AIChatBox",tRPC (trpc.ai.chat.useMutation),Complete,"This page acts as a developer resource and style guide, providing a visual reference for all available UI components to ensure a consistent user experience across the AI Bot Ecosystem.",
/home/ubuntu/ai-bot-ecosystem/client/src/pages/Contact.tsx,Contact,"This page allows users to contact Dozier Holdings Group for inquiries related to ATHLYNX, partnerships, or investments.","Contact form with selectable inquiry types, Direct contact information (Email, Phone, Location, LinkedIn), Quick links to other relevant pages, Displays expected response time","Dark theme with a blue gradient background and cyan as the accent color for links, buttons, and highlights. The layout is a two-column grid.","/dhg, /investor-deck, /partner-portal, /careers, /team","Contact form, Inquiry type selection buttons, Form submission button, 'Send Another Message' button, Links for email, phone, and LinkedIn",None,Complete,"This page serves as the main contact point for external users, guiding them to relevant information or enabling direct communication with the company. It links to important sections of the ecosystem for investors, partners, and job seekers.",
